Series Code,Topic,Indicator Name,
BM.GSR.TRVL.ZS,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Travel services (% of service imports, BoP)",1
BM.KLT.DINV.CD.WD,Economic Policy & Debt: Balance of payments: Capital & financial account,"Foreign direct investment, net outflows (BoP, current US$)",
BM.KLT.DINV.WD.GD.ZS,Economic Policy & Debt: Balance of payments: Capital & financial account,"Foreign direct investment, net outflows (% of GDP)",1
BM.TRF.PRVT.CD,Economic Policy & Debt: Balance of payments: Current account: Transfers,"Secondary income, other sectors, payments (BoP, current US$)",
BM.TRF.PWKR.CD.DT,Economic Policy & Debt: Balance of payments: Current account: Transfers,"Personal remittances, paid (current US$)",
BN.CAB.XOKA.CD,Economic Policy & Debt: Balance of payments: Current account: Balances,"Current account balance (BoP, current US$)",
BN.CAB.XOKA.GD.ZS,Economic Policy & Debt: Balance of payments: Current account: Balances,Current account balance (% of GDP),
BN.FIN.TOTL.CD,Economic Policy & Debt: Balance of payments: Capital & financial account,"Net financial account (BoP, current US$)",
BN.GSR.FCTY.CD,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Net primary income (BoP, current US$)",
BN.GSR.GNFS.CD,Economic Policy & Debt: Balance of payments: Current account: Balances,"Net trade in goods and services (BoP, current US$)",
BN.GSR.MRCH.CD,Economic Policy & Debt: Balance of payments: Current account: Balances,"Net trade in goods (BoP, current US$)",1
BN.KAC.EOMS.CD,Economic Policy & Debt: Balance of payments: Capital & financial account,"Net errors and omissions (BoP, current US$)",
BN.KLT.DINV.CD,Economic Policy & Debt: Balance of payments: Capital & financial account,"Foreign direct investment, net (BoP, current US$)",1
BN.KLT.PTXL.CD,Economic Policy & Debt: Balance of payments: Capital & financial account,"Portfolio Investment, net (BoP, current US$)",
BN.RES.INCL.CD,Economic Policy & Debt: Balance of payments: Capital & financial account,"Reserves and related items (BoP, current US$)",
BN.TRF.CURR.CD,Economic Policy & Debt: Balance of payments: Current account: Transfers,"Net secondary income (BoP, current US$)",
BN.TRF.KOGT.CD,Economic Policy & Debt: Balance of payments: Capital & financial account,"Net capital account (BoP, current US$)",
BX.GRT.EXTA.CD.WD,Economic Policy & Debt: Balance of payments: Reserves & other items,"Grants, excluding technical cooperation (BoP, current US$)",
BX.GRT.TECH.CD.WD,Economic Policy & Debt: Balance of payments: Reserves & other items,"Technical cooperation grants (BoP, current US$)",
BX.GSR.CCIS.CD,Infrastructure: Communications,"ICT service exports (BoP, current US$)",
BX.GSR.CCIS.ZS,Infrastructure: Communications,"ICT service exports (% of service exports, BoP)",
BX.GSR.CMCP.ZS,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Communications, computer, etc. (% of service exports, BoP)",
BX.GSR.FCTY.CD,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Primary income receipts (BoP, current US$)",
BX.GSR.GNFS.CD,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Exports of goods and services (BoP, current US$)",
BX.GSR.INSF.ZS,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Insurance and financial services (% of service exports, BoP)",
BX.GSR.MRCH.CD,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Goods exports (BoP, current US$)",
BX.GSR.NFSV.CD,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Service exports (BoP, current US$)",
BX.GSR.ROYL.CD,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Charges for the use of intellectual property, receipts (BoP, current US$)",
BX.GSR.TOTL.CD,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Exports of goods, services and primary income (BoP, current US$)",
BX.GSR.TRAN.ZS,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Transport services (% of service exports, BoP)",
BX.GSR.TRVL.ZS,"Economic Policy & Debt: Balance of payments: Current account: Goods, services & income","Travel services (% of service exports, BoP)",
BX.KLT.DINV.CD.WD,Economic Policy & Debt: Balance of payments: Capital & financial account,"Foreign direct investment, net inflows (BoP, current US$)",
BX.KLT.DINV.WD.GD.ZS,Economic Policy & Debt: Balance of payments: Capital & financial account,"Foreign direct investment, net inflows (% of GDP)",
BX.KLT.DREM.CD.DT,Economic Policy & Debt: Balance of payments: Capital & financial account,"Primary income on FDI, payments (current US$)",
BX.PEF.TOTL.CD.WD,Economic Policy & Debt: Balance of payments: Capital & financial account,"Portfolio equity, net inflows (BoP, current US$)",
BX.TRF.CURR.CD,Economic Policy & Debt: Balance of payments: Current account: Transfers,"Secondary income receipts (BoP, current US$)",
BX.TRF.PWKR.CD,Economic Policy & Debt: Balance of payments: Current account: Transfers,"Personal transfers, receipts (BoP, current US$)",
BX.TRF.PWKR.CD.DT,Economic Policy & Debt: Balance of payments: Current account: Transfers,"Personal remittances, received (current US$)",
BX.TRF.PWKR.DT.GD.ZS,Economic Policy & Debt: Balance of payments: Current account: Transfers,"Personal remittances, received (% of GDP)",1
CM.MKT.INDX.ZG,Financial Sector: Capital markets,S&P Global Equity Indices (annual % change),
CM.MKT.LCAP.CD,Financial Sector: Capital markets,Market capitalization of listed domestic companies (current US$),
CM.MKT.LCAP.GD.ZS,Financial Sector: Capital markets,Market capitalization of listed domestic companies (% of GDP),1
CM.MKT.LDOM.NO,Financial Sector: Capital markets,"Listed domestic companies, total",
CM.MKT.TRAD.CD,Financial Sector: Capital markets,"Stocks traded, total value (current US$)",
CM.MKT.TRAD.GD.ZS,Financial Sector: Capital markets,"Stocks traded, total value (% of GDP)",1
CM.MKT.TRNR,Financial Sector: Capital markets,"Stocks traded, turnover ratio of domestic shares (%)",
DC.DAC.AUSL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Australia (current US$)",
DC.DAC.AUTL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Austria (current US$)",
DC.DAC.BELL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Belgium (current US$)",
DC.DAC.CANL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Canada (current US$)",
DC.DAC.CECL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, European Union institutions (current US$)",
DC.DAC.CHEL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Switzerland (current US$)",
DC.DAC.CZEL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Czech Republic (current US$)",
DC.DAC.DEUL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Germany (current US$)",
DC.DAC.DNKL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Denmark (current US$)",
DC.DAC.ESPL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Spain (current US$)",
DC.DAC.FINL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Finland (current US$)",
DC.DAC.FRAL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, France (current US$)",
DC.DAC.GBRL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, United Kingdom (current US$)",
DC.DAC.GRCL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Greece (current US$)",
DC.DAC.IRLL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Ireland (current US$)",
DC.DAC.ISLL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Iceland (current US$)",
DC.DAC.ITAL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Italy (current US$)",
DC.DAC.JPNL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Japan (current US$)",
DC.DAC.KORL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Korea, Rep. (current US$)",
DC.DAC.LUXL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Luxembourg (current US$)",
DC.DAC.NLDL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Netherlands (current US$)",
DC.DAC.NORL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Norway (current US$)",
DC.DAC.NZLL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, New Zealand (current US$)",
DC.DAC.POLL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Poland (current US$)",
DC.DAC.PRTL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Portugal (current US$)",
DC.DAC.SVKL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Slovak Republic (current US$)",
DC.DAC.SVNL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Slovenia (current US$)",
DC.DAC.SWEL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Sweden (current US$)",
DC.DAC.TOTL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, Total (current US$)",
DC.DAC.USAL.CD,Economic Policy & Debt: Official development assistance,"Net bilateral aid flows from DAC donors, United States (current US$)",
DT.AMT.BLAT.CD,Economic Policy & Debt: External debt: Amortization,"PPG, bilateral (AMT, current US$)",
DT.AMT.BLTC.CD,Economic Policy & Debt: External debt: Amortization,"PPG, bilateral concessional (AMT, current US$)",
DT.AMT.DIMF.CD,Economic Policy & Debt: External debt: Amortization,"IMF repurchases (AMT, current US$)",
DT.AMT.DLTF.CD,Economic Policy & Debt: External debt: Amortization,"Principal repayments on external debt, long-term + IMF (AMT, current US$)",
DT.AMT.DLXF.CD,Economic Policy & Debt: External debt: Amortization,"Principal repayments on external debt, long-term (AMT, current US$)",
DT.AMT.DPNG.CD,Economic Policy & Debt: External debt: Amortization,"Principal repayments on external debt, private nonguaranteed (PNG) (AMT, current US$)",
DT.AMT.DPPG.CD,Economic Policy & Debt: External debt: Amortization,"Principal repayments on external debt, public and publicly guaranteed (PPG) (AMT, current US$)",
DT.AMT.MIBR.CD,Economic Policy & Debt: External debt: Amortization,"PPG, IBRD (AMT, current US$)",
DT.AMT.MIDA.CD,Economic Policy & Debt: External debt: Amortization,"PPG, IDA (AMT, current US$)",
DT.AMT.MLAT.CD,Economic Policy & Debt: External debt: Amortization,"PPG, multilateral (AMT, current US$)",
DT.AMT.MLTC.CD,Economic Policy & Debt: External debt: Amortization,"PPG, multilateral concessional (AMT, current US$)",
DT.AMT.OFFT.CD,Economic Policy & Debt: External debt: Amortization,"PPG, official creditors (AMT, current US$)",
DT.AMT.PBND.CD,Economic Policy & Debt: External debt: Amortization,"PPG, bonds (AMT, current US$)",
DT.AMT.PCBK.CD,Economic Policy & Debt: External debt: Amortization,"PPG, commercial banks (AMT, current US$)",
DT.AMT.PNGB.CD,Economic Policy & Debt: External debt: Amortization,"PNG, bonds (AMT, current US$)",
DT.AMT.PNGC.CD,Economic Policy & Debt: External debt: Amortization,"PNG, commercial banks and other creditors (AMT, current US$)",
DT.AMT.PROP.CD,Economic Policy & Debt: External debt: Amortization,"PPG, other private creditors (AMT, current US$)",
DT.AMT.PRVT.CD,Economic Policy & Debt: External debt: Amortization,"PPG, private creditors (AMT, current US$)",
DT.AXA.DPPG.CD,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.","Principal arrears, long-term DOD (US$)",
DT.AXA.OFFT.CD,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.","Principal arrears, official creditors (current US$)",
DT.AXA.PRVT.CD,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.","Principal arrears, private creditors (current US$)",
DT.AXF.DPPG.CD,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.",Principal forgiven (current US$),
DT.AXR.DPPG.CD,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.",Principal rescheduled (current US$),
DT.AXR.OFFT.CD,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.","Principal rescheduled, official (current US$)",
DT.AXR.PRVT.CD,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.","Principal rescheduled, private (current US$)",
DT.COM.DPPG.CD,Economic Policy & Debt: External debt: Commitments,"Commitments, public and publicly guaranteed (COM, current US$)",
DT.COM.MIBR.CD,Economic Policy & Debt: External debt: Commitments,"Commitments, IBRD (COM, current US$)",
DT.COM.MIDA.CD,Economic Policy & Debt: External debt: Commitments,"Commitments, IDA (COM, current US$)",
DT.COM.OFFT.CD,Economic Policy & Debt: External debt: Commitments,"Commitments, official creditors (COM, current US$)",
DT.COM.PRVT.CD,Economic Policy & Debt: External debt: Commitments,"Commitments, private creditors (COM, current US$)",
DT.CUR.DMAK.ZS,Economic Policy & Debt: External debt: Currency composition,"Currency composition of PPG debt, Deutsche mark (%)",
DT.CUR.EURO.ZS,Economic Policy & Debt: External debt: Currency composition,"Currency composition of PPG debt, Euro (%)",
DT.CUR.FFRC.ZS,Economic Policy & Debt: External debt: Currency composition,"Currency composition of PPG debt, French franc (%)",
DT.CUR.JYEN.ZS,Economic Policy & Debt: External debt: Currency composition,"Currency composition of PPG debt, Japanese yen (%)",
DT.CUR.MULC.ZS,Economic Policy & Debt: External debt: Currency composition,"Currency composition of PPG debt, Multiple currencies (%)",
DT.CUR.OTHC.ZS,Economic Policy & Debt: External debt: Currency composition,"Currency composition of PPG debt, all other currencies (%)",
DT.CUR.SDRW.ZS,Economic Policy & Debt: External debt: Currency composition,"Currency composition of PPG debt, SDR (%)",
DT.CUR.SWFR.ZS,Economic Policy & Debt: External debt: Currency composition,"Currency composition of PPG debt, Swiss franc (%)",
DT.CUR.UKPS.ZS,Economic Policy & Debt: External debt: Currency composition,"Currency composition of PPG debt, Pound sterling (%)",
DT.CUR.USDL.ZS,Economic Policy & Debt: External debt: Currency composition,"Currency composition of PPG debt, U.S. dollars (%)",
DT.DFR.DPPG.CD,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.",Debt forgiveness or reduction (current US$),
DT.DIS.BLAT.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, bilateral (DIS, current US$)",
DT.DIS.BLTC.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, bilateral concessional (DIS, current US$)",
DT.DIS.DIMF.CD,Economic Policy & Debt: External debt: Disbursements,"IMF purchases (DIS, current US$)",
DT.DIS.DLTF.CD,Economic Policy & Debt: External debt: Disbursements,"Disbursements on external debt, long-term + IMF (DIS, current US$)",
DT.DIS.DLXF.CD,Economic Policy & Debt: External debt: Disbursements,"Disbursements on external debt, long-term (DIS, current US$)",
DT.DIS.DPNG.CD,Economic Policy & Debt: External debt: Disbursements,"Disbursements on external debt, private nonguaranteed (PNG) (DIS, current US$)",
DT.DIS.DPPG.CD,Economic Policy & Debt: External debt: Disbursements,"Disbursements on external debt, public and publicly guaranteed (PPG) (DIS, current US$)",
DT.DIS.IDAG.CD,Economic Policy & Debt: Official development assistance,IDA grants (current US$),
DT.DIS.MIBR.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, IBRD (DIS, current US$)",
DT.DIS.MIDA.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, IDA (DIS, current US$)",
DT.DIS.MLAT.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, multilateral (DIS, current US$)",
DT.DIS.MLTC.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, multilateral concessional (DIS, current US$)",
DT.DIS.OFFT.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, official creditors (DIS, current US$)",
DT.DIS.PBND.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, bonds (DIS, current US$)",
DT.DIS.PCBK.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, commercial banks (DIS, current US$)",
DT.DIS.PNGB.CD,Economic Policy & Debt: External debt: Disbursements,"PNG, bonds (DIS, current US$)",
DT.DIS.PNGC.CD,Economic Policy & Debt: External debt: Disbursements,"PNG, commercial banks and other creditors (DIS, current US$)",
DT.DIS.PROP.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, other private creditors (DIS, current US$)",
DT.DIS.PRVT.CD,Economic Policy & Debt: External debt: Disbursements,"PPG, private creditors (DIS, current US$)",
DT.DOD.ALLC.CD,Economic Policy & Debt: External debt: Debt outstanding,"External debt stocks, concessional (DOD, current US$)",
DT.DOD.ALLC.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,Concessional debt (% of total external debt),1
DT.DOD.BLAT.CD,Economic Policy & Debt: External debt: Debt outstanding,"PPG, bilateral (DOD, current US$)",
DT.DOD.BLTC.CD,Economic Policy & Debt: External debt: Debt outstanding,"PPG, bilateral concessional (DOD, current US$)",
DT.DOD.DECT.CD,Economic Policy & Debt: External debt: Debt outstanding,"External debt stocks, total (DOD, current US$)",
DT.DOD.DECT.CD.CG,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.",Total change in external debt stocks (current US$),
DT.DOD.DECT.EX.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,"External debt stocks (% of exports of goods, services and primary income)",
DT.DOD.DECT.GN.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,External debt stocks (% of GNI),
DT.DOD.DIMF.CD,Economic Policy & Debt: External debt: Debt outstanding,"Use of IMF credit (DOD, current US$)",
DT.DOD.DLXF.CD,Economic Policy & Debt: External debt: Debt outstanding,"External debt stocks, long-term (DOD, current US$)",
DT.DOD.DPNG.CD,Economic Policy & Debt: External debt: Debt outstanding,"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",
DT.DOD.DPPG.CD,Economic Policy & Debt: External debt: Debt outstanding,"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",
DT.DOD.DSTC.CD,Economic Policy & Debt: External debt: Debt outstanding,"External debt stocks, short-term (DOD, current US$)",
DT.DOD.DSTC.IR.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,Short-term debt (% of total reserves),1
DT.DOD.DSTC.XP.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,"Short-term debt (% of exports of goods, services and primary income)",
DT.DOD.DSTC.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,Short-term debt (% of total external debt),
DT.DOD.MDRI.CD,Economic Policy & Debt: Official development assistance,Debt forgiveness grants (current US$),
DT.DOD.MIBR.CD,Economic Policy & Debt: External debt: Debt outstanding,"PPG, IBRD (DOD, current US$)",
DT.DOD.MIDA.CD,Economic Policy & Debt: External debt: Debt outstanding,"PPG, IDA (DOD, current US$)",
DT.DOD.MLAT.CD,Economic Policy & Debt: External debt: Debt outstanding,"PPG, multilateral (DOD, current US$)",
DT.DOD.MLAT.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,Multilateral debt (% of total external debt),
DT.DOD.MLTC.CD,Economic Policy & Debt: External debt: Debt outstanding,"PPG, multilateral concessional (DOD, current US$)",
DT.DOD.MWBG.CD,Economic Policy & Debt: External debt: Debt outstanding,"IBRD loans and IDA credits (DOD, current US$)",
DT.DOD.OFFT.CD,Economic Policy & Debt: External debt: Debt outstanding,"PPG, official creditors (DOD, current US$)",
DT.DOD.PBND.CD,Economic Policy & Debt: External debt: Debt outstanding,"PPG, bonds (DOD, current US$)",
DT.DOD.PCBK.CD,Economic Policy & Debt: External debt: Debt outstanding,"PPG, commercial banks (DOD, current US$)",
DT.DOD.PNGB.CD,Economic Policy & Debt: External debt: Debt outstanding,"PNG, bonds (DOD, current US$)",
DT.DOD.PNGC.CD,Economic Policy & Debt: External debt: Debt outstanding,"PNG, commercial banks and other creditors (DOD, current US$)",
DT.DOD.PROP.CD,Economic Policy & Debt: External debt: Debt outstanding,"PPG, other private creditors (DOD, current US$)",
DT.DOD.PRVS.CD,Economic Policy & Debt: External debt: Debt outstanding,"External debt stocks, long-term private sector (DOD, current US$)",
DT.DOD.PRVT.CD,Economic Policy & Debt: External debt: Debt outstanding,"PPG, private creditors (DOD, current US$)",
DT.DOD.PUBS.CD,Economic Policy & Debt: External debt: Debt outstanding,"External debt stocks, long-term public sector (DOD, current US$)",
DT.DOD.PVLX.CD,Economic Policy & Debt: External debt: Debt outstanding,Present value of external debt (current US$),
DT.DOD.PVLX.EX.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,"Present value of external debt (% of exports of goods, services and primary income)",
DT.DOD.PVLX.GN.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,Present value of external debt (% of GNI),1
DT.DOD.RSDL.CD,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.","Residual, debt stock-flow reconciliation (current US$)",
DT.DOD.VTOT.CD,Economic Policy & Debt: External debt: Debt outstanding,"External debt stocks, variable rate (DOD, current US$)",
DT.DSB.DPPG.CD,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.",Debt buyback (current US$),
DT.DSF.DPPG.CD,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.",Debt stock reduction (current US$),
DT.DXR.DPPG.CD,"Economic Policy & Debt: External debt: Arrears, reschedulings, etc.",Debt stock rescheduled (current US$),
DT.GPA.DPPG,Economic Policy & Debt: External debt: Terms,Average grace period on new external debt commitments (years),
DT.GPA.OFFT,Economic Policy & Debt: External debt: Terms,"Average grace period on new external debt commitments, official (years)",
DT.GPA.PRVT,Economic Policy & Debt: External debt: Terms,"Average grace period on new external debt commitments, private (years)",
DT.GRE.DPPG,Economic Policy & Debt: External debt: Terms,Average grant element on new external debt commitments (%),
DT.GRE.OFFT,Economic Policy & Debt: External debt: Terms,"Average grant element on new external debt commitments, official (%)",
DT.GRE.PRVT,Economic Policy & Debt: External debt: Terms,"Average grant element on new external debt commitments, private (%)",
DT.INR.DPPG,Economic Policy & Debt: External debt: Terms,Average interest on new external debt commitments (%),
DT.INR.OFFT,Economic Policy & Debt: External debt: Terms,"Average interest on new external debt commitments, official (%)",
DT.INR.PRVT,Economic Policy & Debt: External debt: Terms,"Average interest on new external debt commitments, private (%)",
DT.INT.BLAT.CD,Economic Policy & Debt: External debt: Interest,"PPG, bilateral (INT, current US$)",
DT.INT.BLTC.CD,Economic Policy & Debt: External debt: Interest,"PPG, bilateral concessional (INT, current US$)",
DT.INT.DECT.CD,Economic Policy & Debt: External debt: Interest,"Interest payments on external debt, total (INT, current US$)",
DT.INT.DECT.EX.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,"Interest payments on external debt (% of exports of goods, services and primary income)",
DT.INT.DECT.GN.ZS,Economic Policy & Debt: External debt: Debt ratios & other items,Interest payments on external debt (% of GNI),1
DT.INT.DIMF.CD,Economic Policy & Debt: External debt: Interest,"IMF charges (INT, current US$)",
DT.INT.DLXF.CD,Economic Policy & Debt: External debt: Interest,"Interest payments on external debt, long-term (INT, current US$)",
DT.INT.DPNG.CD,Economic Policy & Debt: External debt: Interest,"Interest payments on external debt, private nonguaranteed (PNG) (INT, current US$)",
DT.INT.DPPG.CD,Economic Policy & Debt: External debt: Interest,"Interest payments on external debt, public and publicly guaranteed (PPG) (INT, current US$)",
DT.INT.DSTC.CD,Economic Policy & Debt: External debt: Interest,"Interest payments on external debt, short-term (INT, current US$)",
DT.INT.MIBR.CD,Economic Policy & Debt: External debt: Interest,"PPG, IBRD (INT, current US$)",
DT.INT.MIDA.CD,Economic Policy & Debt: External debt: Interest,"PPG, IDA (INT, current US$)",
DT.INT.MLAT.CD,Economic Policy & Debt: External debt: Interest,"PPG, multilateral (INT, current US$)",
DT.INT.MLTC.CD,Economic Policy & Debt: External debt: Interest,"PPG, multilateral concessional (INT, current US$)",
DT.INT.OFFT.CD,Economic Policy & Debt: External debt: Interest,"PPG, official creditors (INT, current US$)",
DT.INT.PBND.CD,Economic Policy & Debt: External debt: Interest,"PPG, bonds (INT, current US$)",
DT.INT.PCBK.CD,Economic Policy & Debt: External debt: Interest,"PPG, commercial banks (INT, current US$)",
DT.INT.PNGB.CD,Economic Policy & Debt: External debt: Interest,"PNG, bonds (INT, current US$)",
DT.INT.PNGC.CD,Economic Policy & Debt: External debt: Interest,"PNG, commercial banks and other creditors (INT, current US$)",
